
AS25359,-41.169722,146.430278,YDPO,DEVONPORT
AS62722,-41.545278,147.214167,YMLT,LAUNCESTON
NZ77387,-41.737100,171.579047,NZWS,WESTPORT
NZ25496,-41.296817,173.224242,NZNS,NELSON
NZ84546,-41.517872,173.869442,NZWB,WOODBOURNE
NZ46570,-41.326678,174.806917,NZWN,WELLINGTON INTL
CI56772,-40.611200,-73.060506,SCJO,CANAL BAJO CARLOS HOTT SIEBERT
CI00134,-40.413275,-72.759583,SCUH,FUNDO CUINCAHUIN
AR35687,-40.075289,-71.137308,SAZY,AVIADOR C CAMPOS
AR35687S,-40.075289,-71.137308,CHP,AVIADOR C CAMPOS
AR56501,-40.751161,-65.034317,SAVN,ANTOINE DE ST EXUPERY
AR56501S,-40.751161,-65.034317,SAN,ANTOINE DE ST EXUPERY
AR18278,-40.869222,-63.000389,SAVV,GOBERNADOR CASTELLO
AR18278S,-40.869222,-63.000389,VIE,GOBERNADOR CASTELLO
AS74678,-40.835000,145.083611,YSMI,SMITHTON
AS51716,-40.998889,145.731111,YWYY,WYNYARD
AS99942,-40.091389,147.992778,YFLI,FLINDERS ISLAND
NZ04021,-40.905381,174.987928,NZPP,PARAPARAUMU
NZ88678,-40.206186,175.387689,NZOH,OHAKEA
NZ05099,-40.319850,175.614422,NZPM,PALMERSTON NORTH
NZ17722,-40.974622,175.634847,NZMS,MASTERTON
CI11988,-39.796944,-73.241669,SCVL,LAS MARIAS
CI97936,-39.649956,-73.086111,SCVD,PICHOY
CI98089,-39.317253,-72.228281,SCVI,VILLARRICA
CI98087,-39.292794,-71.915856,SCPC,PUCON
AR38055,-39.286400,-65.610303,SOEL,CHOELE CHOEL
AS99925,-39.877500,143.878333,YKII,KING ISLAND
NZ51443,-39.008047,174.177047,NZNP,NEW PLYMOUTH
NZ68365,-39.962222,175.025278,NZWU,WANGANUI
NZ33647,-39.443169,175.656111,NZRU,WAIOURU
NZ02484,-39.469839,176.867153,NZNR,NAPIER
NZ54165,-39.011606,177.404389,NZWO,WAIROA
CI00168,-38.925903,-72.651589,SCQP,LA ARAUCANIA
CI88294,-38.766894,-72.637156,SCTC,MAQUEHUE
CI33569,-38.245556,-72.348611,SCTO,VICTORIA
CI98130,-38.448814,-71.356875,SCQY,VILLA PORTALES
AR10608,-38.081689,-70.644114,SLCP,LONCOPUE
AR72888,-38.538369,-70.336503,SLLJ,LAS LAJAS
AR99022,-38.975869,-70.113408,SAHZ,ZAPALA
AR99022S,-38.975869,-70.113408,ZAP,ZAPALA
AR17815,-38.413783,-68.737394,SOMA,LOMA LA LATA
AR50642,-38.949053,-68.155733,SAZN,PRESIDENTE PERON
AR50642S,-38.949053,-68.155733,NEU,PRESIDENTE PERON
AR06142,-38.999964,-67.620422,SAHR,GENERAL ROCA
AR06142S,-38.999964,-67.620422,GNR,GENERAL ROCA
AR27439,-38.725417,-62.168806,SAZB,COMANDANTE ESPORA
AR27439S,-38.725417,-62.168806,BCA,COMANDANTE ESPORA
AR80927,-38.386858,-60.329661,SAZH,TRES ARROYOS
AR80927S,-38.386858,-60.329661,YOS,TRES ARROYOS
AR34601,-38.489531,-58.816258,SAZO,NECOCHEA
AR34601S,-38.489531,-58.816258,NEC,NECOCHEA
AR00217,-38.225778,-57.870983,SAEM,MIRAMAR
AR00217S,-38.225778,-57.870983,IRA,MIRAMAR
AS23021,-38.318056,141.471111,YPOD,PORTLAND
AS09792,-38.295278,142.446667,YWBL,WARRNAMBOOL
AS04258,-38.039444,144.469444,YMAV,AVALON
AS00043,-38.495556,145.859722,YLEG,LEONGATHA
AS92507,-38.207222,146.470278,YLTV,LATROBE VALLEY
AS45562,-38.091667,146.965278,YWSL,WEST SALE
AS35800,-38.098889,147.149444,YMES,EAST SALE
NZ19958,-38.740758,176.084911,NZAP,TAUPO
NZ05204,-38.107875,176.315956,NZRO,ROTORUA
NZ94208,-38.663956,177.977050,NZGS,GISBORNE
CI21074,-37.401731,-72.425444,SCGE,MARIA DOLORES
CI00097,-37.132861,-72.413736,SCYB,TRILAHUE
AR05592,-37.444769,-70.222083,SAHC,CHOS MALAL
AR05592S,-37.444769,-70.222083,CHM,CHOS MALAL
AR00525,-37.195061,-69.609469,SBRQ,EL PORTON
AR87578,-37.390531,-68.904225,SAHS,RINCON DE LOS SAUCES
AR87578S,-37.390531,-68.904225,RIN,RINCON DE LOS SAUCES
AR18331,-37.809769,-67.659356,SMAO,VEINTICINCO DE MAYO
AR16941,-37.446111,-61.889297,SAZC,CORONEL SUAREZ
AR16941S,-37.446111,-61.889297,SUZ,CORONEL SUAREZ
AR31110,-37.234383,-59.228581,SAZT,TANDIL
AR31110S,-37.234383,-59.228581,DIL,TANDIL
AR25841,-37.934206,-57.573258,SAZM,MAR DEL PLATA
AR25841S,-37.934206,-57.573258,MDP,MAR DEL PLATA
AR64206,-37.235347,-57.029367,SAZV,VILLA GESELL
AR64206S,-37.235347,-57.029367,GES,VILLA GESELL
AS99929,-37.583611,140.366111,YMCT,MILLICENT
AS09515,-37.745556,140.785278,YMTG,MOUNT GAMBIER
AS79711,-37.648889,142.065278,YHML,HAMILTON
AS28469,-37.071667,142.740278,YSWL,STAWELL
AS07051,-37.309444,142.988611,YARA,ARARAT
AS99933,-37.033056,143.708889,YMBU,MARYBOROUGH VIC
AS59355,-37.511667,143.791111,YBLT,BALLARAT
AS15239,-37.932222,144.753333,YMPC,POINT COOK
AS64221,-37.673333,144.843333,YMML,MELBOURNE INTL
AS82557,-37.728056,144.901944,YMEN,MELBOURNE ESSENDON
AS28197,-37.975833,145.102222,YMMB,MELBOURNE MOORABBIN
AS00041,-37.047500,147.334167,YHOT,MOUNT HOTHAM
AS55549,-37.887500,147.567778,YBNS,BAIRNSDALE
AS99935,-37.598889,149.720833,YMCO,MALLACOOTA
NZ91632,-37.008056,174.791667,NZAA,AUCKLAND INTL
NZ04808,-37.030794,174.974569,NZAR,ARDMORE
NZ60556,-37.865319,175.332725,NZHN,HAMILTON
NZ14465,-37.673306,176.198708,NZTG,TAURANGA
NZ69141,-37.922164,176.916908,NZWK,WHAKATANE
CI54607,-36.771433,-73.062336,SCIE,CARRIEL SUR INTL
CI31185,-36.582464,-72.031294,SCCH,GENERAL BERNARDO O HIGGINS
CI00086,-36.586614,-71.807883,SCPI,PULLAMI
AR51559,-36.588178,-64.275575,SAZR,SANTA ROSA
AR51559S,-36.588178,-64.275575,OSA,SANTA ROSA
AR00084,-36.058692,-63.631150,SMUQ,QUEMU QUEMU
AR02065,-36.186597,-61.076242,SAZI,BOLIVAR
AR02065S,-36.186597,-61.076242,BLR,BOLIVAR
AR01214,-36.890078,-60.216531,SAZF,OLAVARRIA
AR01214S,-36.890078,-60.216531,OLA,OLAVARRIA
AR03515,-36.542231,-56.721500,SAZL,SANTA TERESITA
AR03515S,-36.542231,-56.721500,STR,SANTA TERESITA
AS99932,-36.821667,139.878331,YKIG,KINGSTON
AS33215,-36.985278,140.725000,YNRC,NARACOORTE
AS99928,-36.309722,141.640833,YNHL,NHILL
AS42929,-36.669722,142.172778,YHSM,HORSHAM
AS86484,-36.321111,142.419444,YWKB,WARRACKNABEAL
AS44093,-36.360278,143.007500,YDOD,DONALD
AS99931,-36.636667,143.185833,YSTA,SAINT ARNAUD
AS35829,-36.739444,144.329722,YBDG,BENDIGO
AS69801,-36.157222,144.761944,YECH,ECHUCA
AS88731,-36.888333,145.184167,YMNG,MANGALORE
AS20878,-36.428889,145.392500,YSHT,SHEPPARTON
AS99934,-36.554167,146.009167,YBLA,BENALLA
AS00046,-36.028889,146.028611,YYWG,YARRAWONGA
AS93211,-36.415833,146.306944,YWGT,WANGARATTA
AS39570,-36.067778,146.958056,YMAY,ALBURY
AS86625,-36.182778,147.887778,YCRG,CORRYONG
AS20919,-36.300556,148.973889,YCOM,COOMA SNOWY MOUNTAINS
AS99936,-36.908611,149.901389,YMER,MERIMBULA
NZ59788,-36.787778,174.630278,NZWP,WHENUAPAI
CI04047,-35.377825,-71.601681,SCTL,PANGUILEMO
AR96413,-35.493525,-69.574456,SAMM,MALARGUE
AR96413S,-35.493525,-69.574456,MLG,MALARGUE
AR49376,-35.696325,-63.757558,SAZG,GENERAL PICO
